Species	Voucher	Gene	Reason
Ophiocordyceps crinalis	HKAS:102447	ITS	no voucher match
Ophiocordyceps crinalis	HKAS:102447	SSU	no voucher match
Ophiocordyceps crinalis	HKAS:102447	LSU	no voucher match
Ophiocordyceps crinalis	HKAS:102447	TEF	no voucher match
Ophiocordyceps crinalis	HKAS:102447	RPB1	no voucher match
Ophiocordyceps crinalis	KUMCC 5194	SSU	no voucher match
Ophiocordyceps crinalis	KUMCC 5194	LSU	no voucher match
Ophiocordyceps crinalis	KUMCC 5194	TEF	no voucher match
Ophiocordyceps crinalis	KUMCC 5194	RPB1	no voucher match
Ophiocordyceps crinalis	KUMCC 5194	RPB2	no voucher match
Ophiocordyceps curculionum	IAvH-TRI-MR160	SSU	no voucher match
Ophiocordyceps curculionum	IAvH-TRI-MR160	LSU	no voucher match
Ophiocordyceps curculionum	IAvH-TRI-MR160	TEF	no voucher match
Ophiocordyceps curculionum	IAvH-TRI-MR160	RPB1	no voucher match
Ophiocordyceps curculionum	IAvH-TRI-MR160	RPB2	no voucher match
Ophiocordyceps curculionum	OSC 151910	ITS	no voucher match
Ophiocordyceps curculionum	OSC 151910	TEF	no voucher match
Ophiocordyceps curculionum	OSC 151910	RPB2	no voucher match
Ophiocordyceps cylindrospora	HKAS 148937	ITS	no voucher match
Ophiocordyceps cylindrospora	HKAS 148937	SSU	no voucher match
Ophiocordyceps cylindrospora	HKAS 148937	LSU	no voucher match
Ophiocordyceps cylindrospora	HKAS 148937	RPB2	no voucher match
Ophiocordyceps cylindrospora	MFLU:17-1961	TEF	no voucher match
Ophiocordyceps cylindrospora	MFLU:17-1961	RPB1	no voucher match
Ophiocordyceps daceti	MF01	ITS	no voucher match
Ophiocordyceps daceti	MF01	SSU	no voucher match
Ophiocordyceps daceti	MF01	RPB1	no voucher match
Ophiocordyceps daceti	MF01	RPB2	no voucher match
Ophiocordyceps daceti	MF90	ITS	no voucher match
Ophiocordyceps daceti	MF90	LSU	no voucher match
Ophiocordyceps daceti	MF90	TEF	no voucher match
Ophiocordyceps daceti	MF90	RPB1	no voucher match
Ophiocordyceps daceti	MF90	RPB2	no voucher match
Ophiocordyceps diabolica	BDS32	ITS	no voucher match
Ophiocordyceps diabolica	BDS32	RPB1	no voucher match
Ophiocordyceps diabolica	BDS32	RPB2	no voucher match
