Species	Voucher	Gene	Reason
Ophiocordyceps sp.	OSC 151909	RPB2	no voucher match
Ophiocordyceps sp. (cicada symbiont)	CatKNZ01_OP	ITS	no voucher match
Ophiocordyceps spataforae	NHJ 12525	ITS	no voucher match
Ophiocordyceps tiputini	QCNE 186287	ITS	no voucher match
Ophiocordyceps tiputini	QCNE 186287	RPB2	no voucher match
Ophiocordyceps tricentri	CEM 160	RPB1	no voucher match
Ophiocordyceps unilateralis s.s.	OSC 128574	ITS	no voucher match
Ophiocordyceps yakusimensis	HMAS_199604	TEF	no voucher match
Ophiocordyceps nutans	YU0412	TEF	no voucher match
Ophiocordyceps nutans	YU0412	RPB1	no voucher match
Ophiocordyceps nutans	YU0412	RPB2	no voucher match
Ophiocordyceps nutans	NXS92	SSU	no voucher match
Ophiocordyceps nutans	NXS92	TEF	no voucher match
Ophiocordyceps nutans	NXS92	RPB1	no voucher match
Ophiocordyceps nutans	NXS92	RPB2	no voucher match
Ophiocordyceps nutans	iNaturalist#84633564	ITS	no voucher match
Ophiocordyceps nutans	iNaturalist#84633564	TEF	no voucher match
Ophiocordyceps nutans	iNaturalist#84633564	RPB1	no voucher match
Ophiocordyceps nutans	iNaturalist#84633564	RPB2	no voucher match
Ophiocordyceps nutans	iNaturalist#84633145	ITS	no voucher match
Ophiocordyceps nutans	iNaturalist#84633145	TEF	no voucher match
Ophiocordyceps nutans	iNaturalist#84633145	RPB1	no voucher match
Ophiocordyceps nutans	iNaturalist#84633145	RPB2	no voucher match
Ophiocordyceps nutans	FI942	ITS	no voucher match
Ophiocordyceps nutans	FI942	SSU	no voucher match
Ophiocordyceps nutans	FI942	TEF	no voucher match
Ophiocordyceps nutans	FI942	RPB1	no voucher match
Ophiocordyceps nutans	FI942	RPB2	no voucher match
Ophiocordyceps nutans	FI935	SSU	no voucher match
Ophiocordyceps nutans	FI935	TEF	no voucher match
Ophiocordyceps nutans	FI935	RPB1	no voucher match
Ophiocordyceps nutans	FI935	RPB2	no voucher match
Ophiocordyceps nutans	F6	SSU	no voucher match
Ophiocordyceps nutans	F6	LSU	no voucher match
Ophiocordyceps nutans	F6	TEF	no voucher match
Ophiocordyceps nutans	F6	RPB1	no voucher match
Ophiocordyceps nutans	F6	RPB2	no voucher match
Ophiocordyceps nutans	f5	SSU	no voucher match
Ophiocordyceps nutans	f5	LSU	no voucher match
Ophiocordyceps nutans	f5	TEF	no voucher match
Ophiocordyceps nutans	f5	RPB1	no voucher match
Ophiocordyceps nutans	f5	RPB2	no voucher match
Ophiocordyceps nutans	F2	SSU	no voucher match
Ophiocordyceps nutans	F2	LSU	no voucher match
Ophiocordyceps nutans	F2	TEF	no voucher match
Ophiocordyceps nutans	F2	RPB1	no voucher match
Ophiocordyceps nutans	F2	RPB2	no voucher match
Ophiocordyceps nutans	HKAS 126077	SSU	no voucher match
Ophiocordyceps nutans	HKAS 126077	RPB1	no voucher match
Ophiocordyceps nutans	HKAS 126077	RPB2	no voucher match
Ophiocordyceps nutans	HKAS 126074	SSU	no voucher match
Ophiocordyceps nutans	HKAS 126074	RPB1	no voucher match
Ophiocordyceps nutans	HKAS 126074	RPB2	no voucher match
Ophiocordyceps nutans	HKAS 126065	SSU	no voucher match
Ophiocordyceps nutans	HKAS 126065	RPB1	no voucher match
Ophiocordyceps nutans	HKAS 126065	RPB2	no voucher match
Ophiocordyceps nutans	FI	SSU	no voucher match
Ophiocordyceps nutans	FI	LSU	no voucher match
Ophiocordyceps nutans	FI	TEF	no voucher match
Ophiocordyceps nutans	FI	RPB1	no voucher match
Ophiocordyceps nutans	FI	RPB2	no voucher match
Ophiocordyceps nutans	HMJAU63522	TEF	no voucher match
Ophiocordyceps nutans	HMJAU63522	RPB1	no voucher match
Ophiocordyceps nutans	HMJAU63522	RPB2	no voucher match
Ophiocordyceps nutans	HKAS:102461	RPB1	no voucher match
Ophiocordyceps nutans	Bidoup-NLU12	SSU	no voucher match
Ophiocordyceps nutans	Bidoup-NLU12	LSU	no voucher match
Ophiocordyceps nutans	Bidoup-NLU12	TEF	no voucher match
Ophiocordyceps nutans	Bidoup-NLU12	RPB1	no voucher match
Ophiocordyceps nutans	Bidoup-NLU12	RPB2	no voucher match
Ophiocordyceps nutans	Bidoup-NLU11	SSU	no voucher match
Ophiocordyceps nutans	Bidoup-NLU11	LSU	no voucher match
Ophiocordyceps nutans	Bidoup-NLU11	TEF	no voucher match
