Species,Voucher,SSU,LSU,TEF,RPB1,RPB2,ITS,Host
Ophiocordyceps oxycephala,HMIGD 20878,,,,,EF495091,,
Ophiocordyceps oxycephala,KUMCC 5193,,OP962402,,,,OQ935398,
Ophiocordyceps oxycephala,wyhxz-2,OL150612,,,,,,
Ophiocordyceps paltothyrei,Palt1,MK393848,MK393345,,MK491942,,,
Ophiocordyceps paltothyrei,Palt2,MK393849,MK393346,,MK491943,,,
Ophiocordyceps pauciovoperitheciata,BCC53615,,MF614649,MF614636,MF614665,MF614672,,
Ophiocordyceps philippinensis,BBC22048,,PV257647,,,,,
Ophiocordyceps philippinensis,BCC22048,,,PV274279,,PV274291,,
Ophiocordyceps philippinensis,BCC78339,PV170900,,,,,PV170900,Dipterigena
Ophiocordyceps poecilometigena,BRIP 61312a,OP941141,OP941139,OP948911,,,,
Ophiocordyceps poecilometigena,BRIP:62634a,,,,,,NR_191271,Poecilometigena sp.
Ophiocordyceps polyrhachis,P39,KJ201504,,,,,,
Ophiocordyceps polyrhachis,Po21,,,JN819003,,,,
Ophiocordyceps ponerinarum,Ophkni790,KC610789,KC610767,KC610740,KF658668,,,
Ophiocordyceps pruinosa,MY3912,,,,,,GU723762,
Ophiocordyceps pruinosa,NHJ 12994,EU369106,EU369041,EU369024,EU369063,EU369084,,
Ophiocordyceps pseudoacicularis,BCC49256,,MF614645,MF614629,MF614662,MF614676,,
Ophiocordyceps pseudolloydii,HKAS 126055,PV467454,OP962387,OQ979234,,,,
Ophiocordyceps pseudolloydii,MFLU:22-0266,OQ127323,OQ127394,OQ186385,OQ186434,OQ186408,OQ127360,
Ophiocordyceps pseudomyrmicis,P10B1,MK393847,MK393344,,,,,
Ophiocordyceps pseudonutans,HAKS 131087,OR727522,OR727508,OR735993,OR736007,OR736020,,
Ophiocordyceps pseudonutans,TL31,,,,,,OR727495,on stink bug
Ophiocordyceps pulvinata,Ophiocordyceps_pulvinata_gene_for_28S_ribosomal_RNA_partial_sequence,,AB721305,,,,,Camponotus obscuripes
Ophiocordyceps pulvinata,Ophiocordyceps_pulvinata_genes_for_18S_rRNA_ITS1_5.8S_rRNA_ITS2_28S_rRNA_partial_and_complete_sequence,,,,,,AB721302,Camponotus obscuripes
Ophiocordyceps pulvinata,TNS-F-30044,GU904208,,GU904209,GU904210,,,
Ophiocordyceps purpureostromata,TNS F18430,KJ878931,KJ878897,KJ878977,KJ879011,,,
Ophiocordyceps rami,MY6736,KM655823,,KJ201532,,,,
Ophiocordyceps ramosissimum,GZUHHN8,KJ028012,,KJ028014,KJ028017,,KJ028007,Phassus nodus
Ophiocordyceps ravenelii,OSC 110995,DQ522550,DQ518764,DQ522334,DQ522379,DQ522430,,
Ophiocordyceps rhizoidea,NHJ 12522,,,,,,JN049857,
Ophiocordyceps rhizoidea,NHJ 12529,EF468969,EF468824,EF468765,EF468872,EF468922,,
Ophiocordyceps robertsii,K.(M)27083,AJ309335,,,,,AJ309335,
Ophiocordyceps robertsii,KEW 27083,,EF468826,EF468766,,,,
Ophiocordyceps robertsii,YHORZT007,,,,KC561980,,,
Ophiocordyceps rubiginosiperitheciata,NBRC 100946,JN941705,JN941436,AB968581,JN992439,AB968543,,
Ophiocordyceps rubiginosiperitheciata,NBRC 106966,,,,,,JN943344,
Ophiocordyceps satoi,J19,KX713650,KX713601,KX713684,KX713710,,,
Ophiocordyceps satoi,YFCC 8810,,,,,OP796865,,
Ophiocordyceps sinensis,EFCC 7287,EF468971,EF468827,EF468767,EF468874,EF468924,JN049854,
Ophiocordyceps sobolifera,HKAS 126020,,,PV672170,,,,
Ophiocordyceps sobolifera,KEW 78842,EF468972,EF468828,,EF468875,EF468925,JN049855,
Ophiocordyceps sp,NHJ 12525,EF469125,,,,,,
Ophiocordyceps sp,OSC 151909,,KJ878900,KJ878981,KJ879016,KJ878952,,
Ophiocordyceps sp,SJ22,,,MK863822,MK863832,,,
Ophiocordyceps sp.,CatKNZ01_OP,,LC370818,LC370821,LC370819,LC370820,,
Ophiocordyceps sp.,NHJ 12525,EF469125,,,,,,
Ophiocordyceps spataforae,NHJ 12525,EF469125,EF469078,EF469063,EF469092,EF469111,,
Ophiocordyceps sphecocephala,OSC 110998,DQ522551,DQ518765,DQ522336,DQ522381,DQ522432,,
Ophiocordyceps stylophora,OSC 111000,DQ522552,DQ518766,DQ522337,DQ522382,DQ522433,JN049828,
Ophiocordyceps tabani,BBC45127,,PV257652,,,,,
Ophiocordyceps tabani,BCC39918,,,PV274284,,,,Diptera
Ophiocordyceps tabani,BCC45127,PV170901,,,,PV339938,NR_201009,Dipterigena
Ophiocordyceps tessaratomidarum,GMBC 3025,PP583070,PP577937,PP681120,PP681110,PP681115,PP583070,
Ophiocordyceps thanathonensis,HKAS 126078,,,,,,OQ935382,
Ophiocordyceps thanathonensis,HKAS:102442,,OQ127395,OQ186386,,OQ186409,,
Ophiocordyceps thanathonensis,MFLU 16-2909,MF850376,,,,,,
Ophiocordyceps thanathonensis,MFLU 16-2910,,MF850377,,,,,
Ophiocordyceps thanathonensis,MFLUCC:16-2909,,,MF872613,MF872615,,,Hymenotera
Ophiocordyceps thanathonensis,MFLUCC:16-2910,,,,MF872616,,,Hymenotera
Ophiocordyceps thilosuensis,BBC47494,,PV257653,,,,,
Ophiocordyceps thilosuensis,BCC46607,,,,,,NR_201010,Dipterigena
Ophiocordyceps thilosuensis,BCC47494,PV170902,,PV274285,,PV274294,,Dipterigena
Ophiocordyceps tiputini,Ophsp.11465,KC610792,,,,,,
Ophiocordyceps tiputini,Ophtip11465,,KC610773,KC610745,KF658671,,,
Ophiocordyceps tricentri,CEM160,AB027330,AB027376,,,,,
Ophiocordyceps tricentri,HKAS 126048,,,,,,OQ935400,
Ophiocordyceps tricentri,KUMCC 5198,,,OQ440739,,,,
Ophiocordyceps tricentri,NBRC:106968,AB968393,AB968423,AB968593,,AB968554,AB968410,
Ophiocordyceps unilateralis,OSC 128574,DQ522554,DQ518768,DQ522339,DQ522385,DQ522436,,
Ophiocordyceps variabilis,ARSEF 5365,DQ522555,DQ518769,DQ522340,DQ522386,DQ522437,,
Ophiocordyceps variabilis,OMDL iNat # 225208540,,,,,,PX412722,
Ophiocordyceps vespulae,GZUCC2017064,,MN044858,MN117075,,MN117073,,
Ophiocordyceps vespulae,HKAS:102449,,,,OQ186438,,,
Ophiocordyceps vespulae,KA25-1007,PX927853,,,,,PX927853,
Ophiocordyceps xuefengensis,GZUHHN13,KC631804,KC631804,KC631790,KC631795,,KC631804,Phassus nodus
Ophiocordyceps xuefengensis,YFCC 16049246,,,,,OQ622113,,
Ophiocordyceps yakusimensis,HMAS_199604,KJ878938,KJ878902,,KJ879018,KJ878953,,
Ophiocordyceps yakusimensis,synonym_Cordyceps_yakusimensis,,,,,,AB044643,
Tolypocladium capitatum,ARSEF 1446,,KM652106,,,,,
Tolypocladium capitatum,OSC71233,AY489689,,AY489615,AY489649,,,
Tolypocladium capitatum,YFCC 881,,,,,OP223133,,
Tolypocladium inflatum,CBS 127147,,MH864439,,,,,
Tolypocladium inflatum,CBS 127302,MH864514,,,,,MH864514,
Tolypocladium inflatum,KUMCC 7769,,,OQ454520,,,,
Tolypocladium inflatum,MTCC 557,,,,JQ990875,,,
Tolypocladium inflatum,OSC 71235,,,,,EF469108,,
Tolypocladium ophioglossoides,CBS 100239,KJ878910,KJ878874,KJ878958,KJ878990,KJ878944,,
Tolypocladium ophioglossoides,CBS 139.63,,,,,,PV407373,
Tolypocladium ophioglossoides,iNAT:178438965,PZ017987,PZ017987,,,,,
Tolypocladium ophioglossoides,NBRC:106330,,,AB968603,,AB968564,,
